product_name,product_id,url,image,price,scraped_at
Birthday Cake Candle,8784192995573,https://www.glossier.com/en-lt/products/birthday-cake-candle,https://www.glossier.com/cdn/shop/files/glossier-birthday-candle-carousel-01_271x.png?v=1762201532,"€58,95",2026-04-20T20:39:58
Flush Glow Duo,9093514166517,https://www.glossier.com/en-lt/products/flush-glow-duo,https://www.glossier.com/cdn/shop/files/glossier-flushglowduo-pdp-carousel-01_271x.png?v=1762268474,"€48,95",2026-04-20T20:40:01
Universal Pro-Retinol,8035305292021,https://www.glossier.com/en-lt/products/universal-pro-retinol,https://www.glossier.com/cdn/shop/files/glossier-skincare-pro-retinol-carousel-01_271x.png?v=1762200225,"€46,95",2026-04-20T20:40:02
Deodorant Refillable Case,8035306766581,https://www.glossier.com/en-lt/products/deodorant-refillable-case,https://www.glossier.com/cdn/shop/products/glossier-deo-refill-case-carousel-01-update_271x.png?v=1762200253,"€5,95",2026-04-20T20:40:03
Deodorant Refill Stick,8035307258101,https://www.glossier.com/en-lt/products/deodorant-refill-stick,https://www.glossier.com/cdn/shop/products/glossier-deorefill-unscented-carousel-01_271x.png?v=1765390004,"€20,95",2026-04-20T20:40:04
Solution,8284280193269,https://www.glossier.com/en-lt/products/solution,https://www.glossier.com/cdn/shop/files/glossier-skincare-solution-carousel-01_271x.png?v=1762201015,"€34,95",2026-04-20T20:40:06
Lidstar,8035307651317,https://www.glossier.com/en-lt/products/lidstar,https://www.glossier.com/cdn/shop/files/glossier-lidstar-herb-01_271x.png?v=1762200271,"€23,95",2026-04-20T20:40:09
Body Hero Exfoliating Bar,8035305324789,https://www.glossier.com/en-lt/products/body-hero-exfoliating-bar,https://www.glossier.com/cdn/shop/products/glossier-body-exfoliating-carousel-01_271x.png?v=1762200225,"€20,95",2026-04-20T20:40:14
Glossier You Solid Refill,8035305193717,https://www.glossier.com/en-lt/products/glossier-you-solid-refill,https://www.glossier.com/cdn/shop/files/glossier-fragrance-you-solidrefill-01_271x.png?v=1762200222,"€29,95",2026-04-20T20:40:16
Sharpener,8463593275637,https://www.glossier.com/en-lt/products/sharpener,https://www.glossier.com/cdn/shop/files/glossier-carousel-lipline-sharpener-01_271x.png?v=1762201232,"€10,95",2026-04-20T20:40:17
